Profession,Category
Físicos y astrónomos,Ciencias e Investigación
Químicos,Ciencias e Investigación
"Geólogos, geofísicos y geoquímicos",Ciencias e Investigación
"Biólogos, botánicos, zoólogos y afines",Ciencias e Investigación
Ingenieros industriales y de producción,Manufactura y Producción
Ingenieros químicos,Ciencias e Investigación
Instructores de tecnología de la información,Tecnología de la Información
Profesionales de ventas de tecnología de la información y las comunicaciones,Tecnología de la Información
Desarrolladores de software,Tecnología de la Información
Desarrolladores Web y multimedia,Tecnología de la Información
Programadores de aplicaciones,Tecnología de la Información
Desarrolladores y analistas de software y multimedia no clasificados en otras ocupaciones,Tecnología de la Información
Operarios de exploración geofísica y geológica,Manufactura y Producción
Auxiliares de producción gráfica,Manufactura y Producción
Supervisores y analistas de producción de hidrocarburos,Manufactura y Producción
Supervisores de procesamiento de la madera y producción de pulpa y papel,Manufactura y Producción
Controladores de instalaciones de procesamiento de productos químicos,Ciencias e Investigación
Controladores de procesos de producción y tratamiento de metales,Manufactura y Producción
Supervisores de producción agrícola,Manufactura y Producción
Supervisores de producción pecuaria,Manufactura y Producción
Supervisores de operación de transporte ferroviario,Transporte y Logística
Supervisores de operación de transporte terrestre (no ferroviario),Transporte y Logística
Técnicos investigadores criminalísticos y judiciales,Ciencias e Investigación
Investigadores criminalísticos y judiciales,Ciencias e Investigación
Entrenadores y preparadores físicos,Ciencias e Investigación
Auxiliares de producción de eventos y espectáculos,Manufactura y Producción
Asistentes de dirección y producción en las artes escénicas y audiovisuales,Manufactura y Producción
Técnicos en operaciones de tecnología de la información y las comunicaciones,Tecnología de la Información
Técnicos en asistencia y soporte de tecnologías de la información,Tecnología de la Información
Técnicos en redes y tecnologías de la información,Tecnología de la Información
Asistentes de producción de audio y sonido,Manufactura y Producción
Inspectores y controladores de transporte,Transporte y Logística
Revisores y cobradores de los transportes públicos,Transporte y Logística
Productores y trabajadores calificados de explotaciones agropecuarias mixtas cuya producción se destina al mercado,Manufactura y Producción
"Operarios en cemento armado, enfoscadores y afines",Manufactura y Producción
Oficiales y operarios de la construcción de obra gruesa y afines no clasificados en otras ocupaciones,Manufactura y Producción
Operarios de mantenimiento de redes de abastecimiento de agua y gas,Manufactura y Producción
"Operarios de fundición, moldeadores y macheros",Manufactura y Producción
"Operarios de fabricación, moldeo y acabado del vidrio",Manufactura y Producción
Operarios de la elaboración de productos lácteos,Manufactura y Producción
"Operarios de la conservación de frutas, legumbres, verduras y afines",Manufactura y Producción
Operarios del tratamiento de la madera,Manufactura y Producción
"Otros oficiales, operarios y oficios relacionados no clasificados",Manufactura y Producción
Operadores de producción de hidrocarburos,Manufactura y Producción
Operadores de máquinas para la producción de pulpa,Manufactura y Producción
Maquinistas de transporte ferroviario,Transporte y Logística
Conductores de motocicletas,Transporte y Logística
Conductores de camionetas y vehículos livianos,Transporte y Logística
Conductores de taxis,Transporte y Logística
"Conductores de buses, microbuses y tranvías",Transporte y Logística
Conductores de camiones y vehículos pesados,Transporte y Logística
Obreros y ayudantes de producción en pozos de petróleo y gas,Manufactura y Producción
Obreros y operarios de cementerios,Manufactura y Producción
Obreros y ayudantes en el procesamiento de la madera y producción de pulpa y papel,Manufactura y Producción
Conductores de vehículos accionados a pedal o a brazo,Transporte y Logística
Conductores de vehículos y maquinaria de tracción animal,Transporte y Logística
Operarios y auxiliares de rampa de transporte aéreo,Manufactura y Producción
Ayudantes de transporte automotor,Transporte y Logística
"Mandaderos, maleteros y repartidores",Transporte y Logística
