Profession,Category
Oficiales de las fuerzas militares,Fuerzas Armadas
Suboficiales de las fuerzas militares,Fuerzas Armadas
Otros miembros de las fuerzas militares,Fuerzas Armadas
Directores formuladores y ejecutores de políticas y normas,Administración Pública y Gobierno
Directores del gobierno,Administración Pública y Gobierno
Jefes de comunidades étnicas,Liderazgo y Organizaciones Sociales
"Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)",Liderazgo y Organizaciones Sociales
Directores y gerentes generales,Administración Pública y Gobierno
Directores y gerentes financieros,Administración Pública y Gobierno
"Directores y gerentes de seguros, bienes raíces y corretaje financiero",Administración Pública y Gobierno
"Directores y gerentes de banca, crédito e inversiones",Administración Pública y Gobierno
Directores y gerentes de recursos humanos,Administración Pública y Gobierno
Directores y gerentes de políticas y planeación,Administración Pública y Gobierno
Directores y gerentes de limpieza y mantenimiento,Administración Pública y Gobierno
Directores y gerentes de administración y servicios no clasificados en otras ocupaciones,Administración Pública y Gobierno
Directores y gerentes de ventas y mercadeo,Administración Pública y Gobierno
Directores y gerentes de comercio exterior,Administración Pública y Gobierno
Directores y gerentes de publicidad y relaciones públicas,Administración Pública y Gobierno
"Directores y gerentes de ingeniería, investigación y desarrollo",Administración Pública y Gobierno
Directores y gerentes de producción agropecuaria y silvicultura,Administración Pública y Gobierno
"Directores y gerentes de producción acuícola, piscícola y de pesca",Administración Pública y Gobierno
Directores y gerentes de industrias manufactureras,Administración Pública y Gobierno
Directores y gerentes de producción primaria (excepto agricultura),Administración Pública y Gobierno
Directores y gerentes de empresas de construcción,Administración Pública y Gobierno
Directores y gerentes de compras y adquisiciones,Administración Pública y Gobierno
Directores y gerentes de servicios de correo y mensajería,Administración Pública y Gobierno
"Directores y gerentes de transporte, distribución y logística",Administración Pública y Gobierno
Directores y gerentes de cadena de suministro,Administración Pública y Gobierno
Directores y gerentes de telecomunicaciones,Administración Pública y Gobierno
Directores y gerentes de sistemas de información y procesamiento de datos,Administración Pública y Gobierno
Directores y gerentes de comunicaciones y audiovisuales,Administración Pública y Gobierno
Directores y gerentes de servicios de cuidados infantiles,Administración Pública y Gobierno
Directores y gerentes de servicios de salud,Administración Pública y Gobierno
Directores y gerentes de servicios de atención a personas mayores,Administración Pública y Gobierno
"Directores y gerentes de servicios de bienestar social, comunitario y correccional",Administración Pública y Gobierno
Directores y gerentes de programas de política educativa,Administración Pública y Gobierno
Directores y administradores de educación superior y formación para el trabajo,Administración Pública y Gobierno
Directores y administradores de educación básica y media,Administración Pública y Gobierno
"Directores y gerentes de sucursales de bancos, de servicios financieros y de seguros",Administración Pública y Gobierno
"Directores y gerentes de archivo, biblioteca, museo y galería de arte",Administración Pública y Gobierno
Directores y gerentes de servicios y procesos de negocio,Administración Pública y Gobierno
Directores y gerentes de servicios profesionales no clasificados en otras ocupaciones,Administración Pública y Gobierno
Directores y gerentes de servicios hoteleros y hospedaje,Administración Pública y Gobierno
Gerentes y administradores de servicios de alimentos y restaurantes,Atención al Cliente y Ventas
Gerentes de comercios al por mayor y al por menor,Otros 
"Directores y gerentes de empresas de música, artes escénicas y cultura",Administración Pública y Gobierno
Directores y gerentes de esparcimiento y deportes,Administración Pública y Gobierno
Gerentes y administradores de propiedad horizontal,Gerencia y Administración de Propiedades
Otros gerentes y administradores de servicios no clasificados en otras ocupaciones,Atención al Cliente y Ventas
Físicos y astrónomos,Ciencias e Investigación
Meteorólogos,Ciencias Naturales y Medio Ambiente
Químicos,Ciencias e Investigación
