ID,Profession,Category
1100,Oficiales de las fuerzas militares,Fuerzas Armadas
2100,Suboficiales de las fuerzas militares,Fuerzas Armadas
3100,Otros miembros de las fuerzas militares,Fuerzas Armadas
11110,Directores formuladores y ejecutores de políticas y normas,Administración Pública y Gobierno
11120,Directores del gobierno,Administración Pública y Gobierno
11130,Jefes de comunidades étnicas,Liderazgo y Organizaciones Sociales
11140,"Dirigentes de organizaciones con un interés específico (partidos políticos, sindicatos y organizaciones sociales)",Liderazgo y Organizaciones Sociales
11200,Directores y gerentes generales,Administración Pública y Gobierno
12111,Directores y gerentes financieros,Administración Pública y Gobierno
12112,"Directores y gerentes de seguros, bienes raíces y corretaje financiero",Administración Pública y Gobierno
12113,"Directores y gerentes de banca, crédito e inversiones",Administración Pública y Gobierno
12120,Directores y gerentes de recursos humanos,Administración Pública y Gobierno
12130,Directores y gerentes de políticas y planeación,Administración Pública y Gobierno
12191,Directores y gerentes de limpieza y mantenimiento,Administración Pública y Gobierno
12199,Directores y gerentes de administración y servicios no clasificados en otras ocupaciones,Administración Pública y Gobierno
12211,Directores y gerentes de ventas y mercadeo,Administración Pública y Gobierno
12212,Directores y gerentes de comercio exterior,Administración Pública y Gobierno
12220,Directores y gerentes de publicidad y relaciones públicas,Administración Pública y Gobierno
12230,"Directores y gerentes de ingeniería, investigación y desarrollo",Administración Pública y Gobierno
13110,Directores y gerentes de producción agropecuaria y silvicultura,Administración Pública y Gobierno
13120,"Directores y gerentes de producción acuícola, piscícola y de pesca",Administración Pública y Gobierno
13210,Directores y gerentes de industrias manufactureras,Administración Pública y Gobierno
13220,Directores y gerentes de producción primaria (excepto agricultura),Administración Pública y Gobierno
13230,Directores y gerentes de empresas de construcción,Administración Pública y Gobierno
13241,Directores y gerentes de compras y adquisiciones,Administración Pública y Gobierno
13242,Directores y gerentes de servicios de correo y mensajería,Administración Pública y Gobierno
13243,"Directores y gerentes de transporte, distribución y logística",Administración Pública y Gobierno
13244,Directores y gerentes de cadena de suministro,Administración Pública y Gobierno
13301,Directores y gerentes de telecomunicaciones,Administración Pública y Gobierno
13302,Directores y gerentes de sistemas de información y procesamiento de datos,Administración Pública y Gobierno
13303,Directores y gerentes de comunicaciones y audiovisuales,Administración Pública y Gobierno
13410,Directores y gerentes de servicios de cuidados infantiles,Administración Pública y Gobierno
13420,Directores y gerentes de servicios de salud,Administración Pública y Gobierno
13430,Directores y gerentes de servicios de atención a personas mayores,Administración Pública y Gobierno
13440,"Directores y gerentes de servicios de bienestar social, comunitario y correccional",Administración Pública y Gobierno
13451,Directores y gerentes de programas de política educativa,Administración Pública y Gobierno
